id,delinq_2yrs,earliest_cr_line2,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d
54734,0,1994-02-01,0,NA,NA,10,0,28854,0.521,42,29331,21818,25000,4331,0,0,0,2011-10-01,7393,2012-08-01
55742,0,2000-10-01,0,NA,NA,7,0,33623,0.767,7,8216,685,7000,1216,0,0,0,2011-06-01,229,2012-08-01
57245,0,1985-01-01,0,64,NA,5,0,2584,0.404,31,1458,1458,1200,258,0,0,0,2013-03-01,43,2016-05-01
57416,0,1996-12-01,1,58,NA,14,0,3511,0.256,40,13208,13074,10800,2408,0,0,0,2012-11-01,398,2016-05-01
58915,0,2000-11-01,1,NA,NA,3,0,33667,0.732,11,5844,572,5025,819,0,0,0,2011-04-01,163,2014-03-01
59006,1,1998-07-01,0,13,0,13,0,4740,0.395,23,3705,3689,3000,705,0,0,0,2012-10-01,112,2012-09-01
61390,0,1993-05-01,0,NA,NA,11,0,50807,0.51,19,4452,4341,4000,452,0,0,0,2012-03-01,1455,2012-03-01
61419,0,2001-06-01,0,38,63,5,1,3839,0.768,9,6475,6388,5221,1212,0,43,2,2012-10-01,195,2013-03-01
62102,0,2006-06-01,0,NA,NA,7,0,3198,0.511,11,3414,3414,3200,214,0,0,0,2011-02-01,2593,2013-03-01
65426,0,1995-08-01,0,0,0,14,0,24220,0.686,33,2756,2616,2171,585,0,0,0,2011-06-01,132,2016-05-01
65640,0,1997-05-01,1,0,0,20,0,69909,0.511,51,3154,513,2650,489,15,0,0,2011-05-01,88,2015-04-01
66431,0,2001-09-01,1,NA,NA,5,0,5630,0.23,8,3029,2849,2525,504,0,0,0,2012-03-01,90,2012-03-01
66749,0,1990-07-01,2,57,85,5,1,13846,0.71,16,12976,6108,10625,2351,0,0,0,2012-01-01,371,2011-12-01
66943,0,2000-12-01,0,NA,97,7,1,2183,0.195,23,3144,3032,2800,344,0,0,0,2011-10-01,2349,2014-07-01
66964,1,1996-08-01,2,10,NA,11,0,5122,0.182,37,9129,1013,7500,1629,0,0,0,2011-06-01,254,2011-06-01
67503,0,1991-12-01,0,NA,NA,7,0,6068,0.167,49,11281,11281,10000,1281,0,0,0,2012-02-01,3065,2014-02-01
68163,1,1998-02-01,0,16,NA,14,0,3021,0.048,25,3342,3342,3000,342,0,0,0,2013-02-01,98,2013-02-01
68381,0,2003-12-01,0,NA,NA,3,0,6282,0.446,9,7542,7372,6625,917,0,0,0,2011-03-01,425,2015-03-01
68817,0,1985-11-01,1,45,NA,7,0,5394,0.534,23,11710,2899,10000,1710,0,0,0,2010-09-01,24,2010-09-01
68926,0,1997-12-01,0,46,0,4,0,2211,0.884,13,2797,644,2300,497,0,0,0,2011-09-01,78,2016-05-01
69001,0,1991-11-01,1,0,0,6,0,7586,0.527,19,17136,16993,15000,2136,0,0,0,2012-07-01,1920,2015-08-01
